#separator: tab
#html:true
ウェイ	way
盛り | さか	peak (e.g. of cherry blossom season); height (e.g. of summer), prime (of one's life); one's best days
不可能 | ふかのう	impossible
闘争 | とうそう	strife; conflict
乏しい | とぼ	meagre; meager; scarce; limited; destitute; hard up; lacking; scanty; poor
ウエスト	waist, west
立ち | た	departure; setting off; start, being used up; being consumed; being burnt out
復旧 | ふっきゅう	restoration; restitution; rehabilitation
実況 | じっきょう	actual state (of things); real state; actual condition; real condition; actual scene, live; on-the-scene
適する | てき	to fit; to suit
快速 | かいそく	high speed; celerity; mobility, rapid-service train (not as fast as express); rapid train
自在 | じざい	freely; at will
あれ	stormy weather; tempest; chaps (of skin)
若手 | わかて	young person
神秘 | しんぴ	mystery; mysteriousness; secret
空く | す	to become less crowded; to thin out; to get empty, to be hungry
あえて	purposely (of something needless, unexpected or seemingly counterproductive, etc.); daringly (doing something); deliberately; intentionally, not necessarily; not particularly; not especially
顕微鏡 | けんびきょう	microscope
イタリア	Italy
座敷 | ざしき	tatami room; tatami mat room; formal Japanese room, dinner party in a tatami room (esp. when a geisha or maiko attends)
新聞社 | しんぶんしゃ	newspaper company
細工 | さいく	work; craftsmanship; tactics; trick
束 | たば	bundle; bunch; sheaf
推移 | すいい	transition; change
交易 | こうえき	trade; commerce
言 | げん	word; remark; statement
空母 | くうぼ	aircraft carrier
公言 | こうげん	declaration; profession
黄色い | きいろ	yellow, high-pitched (voice); shrill
問 | もん	counter for questions
同名 | どうめい	same name
引き継ぐ | ひ, つ	to take over; to hand over
シナリオ	script; screenplay, scenario
生やす | は	to grow; to cultivate; to wear a beard
安易 | あんい	easy; simple, easy-going
航路 | こうろ	course; (sea) route; run
文房具 | ぶんぼうぐ	stationery
特長 | とくちょう	forte; merit
懲役 | ちょうえき	penal servitude; imprisonment with hard labor (hard labour)
爆破 | ばくは	destructive blast; explosion; blow up
不自然 | ふしぜん	unnatural; artificial; affected; strained
しょう	phenomenon
小遣い | こづか	pocket money; spending money; pin money; allowance
えみ	smile
米 | こめ	(husked grains of) rice, 88 years old
ちなみに	by the way; in this connection; incidentally; in passing
炭素 | たんそ	carbon (C)
活性 | かっせい	activity
風土 | ふうど	natural features; topography; climate; spiritual features
街頭 | がいとう	in the street
せめて	at least; at most
茶道 | さどう	tea ceremony; Way of Tea
右翼 | うよく	right-wing (politics), extreme right-wing group
宮殿 | きゅうでん	palace
中核 | ちゅうかく	kernel; core; nucleus; center; centre
心中 | しんじゅう	double suicide; lovers suicide
幻想 | げんそう	illusions
生態 | せいたい	mode of life; ecology, (animal) territory
どんどん	drumming (noise), rapidly; steadily
肝臓 | かんぞう	liver
計 | けい	plan, meter; measuring device
のり	paste; glue, clothing starch
容疑 | ようぎ	suspicion; charge
叫び | さけ	shout; scream; outcry
動画 | どうが	video; movie; moving picture, animation; animated cartoon
塀 | へい	fence, wall
阪神 | はんしん	Osaka-Kobe, Hanshin (company name: railway, dept. store, baseball team, etc.)
西側 | にしがわ	west side; west bank
寄贈 | きぞう	donation; presentation; gift
惑星 | わくせい	planet
機動 | きどう	maneuver (usu. of military force); manoeuvre, mobile; nimble; agile; quick to respond
天文 | てんもん	astronomy
という	called; named; that says; that, as many as; as much as
関節 | かんせつ	joints (knee joint, elbow joint, etc.)
パターン	pattern, behavioural pattern; behavioral pattern; predictability; force of habit
誘拐 | ゆうかい	abduction; kidnapping; kidnaping
協調 | きょうちょう	cooperation; conciliation; harmony, firm (market) tone
鑑定 | かんてい	judgement; judgment; expert opinion; appraisal
風 | かぜ	wind; breeze; draught; draft, manner; behaviour; behavior
系 | けい	system; lineage; group, corollary
オートバイ	motorcycle
停滞 | ていたい	stagnation; tie-up; congestion; retention; accumulation; falling into arrears
多忙 | たぼう	busy; pressure of work
バッジ	badge
九十 | きゅうじゅう	ninety
年月日 | ねんがっぴ	date
霜 | しも	frost
国営 | こくえい	government management; state management
はさみ	scissors; shears; clippers, hole punch
開館 | かいかん	opening a hall for that day's business (museum, library, etc.), opening of new hall (museum, etc.)
理屈 | りくつ	theory; reason
先だって | せん	recently; the other day
バン	bun, van (caravan)
減速 | げんそく	deceleration
南下 | なんか	going south
宅地 | たくち	building lot; residential land
外野 | がいや	outfield, outfielder
在住 | ざいじゅう	residing; living; dwelling
初日 | しょにち	first or opening day
曇る | くも	to get cloudy; to cloud over; to become overcast, to cloud up; to fog up; to mist up; to become dim
ピクニック	picnic
こう	marquis; lord; daimyo
積極 | せっきょく	positive; progressive
譲渡 | じょうと	transfer; assignment; conveyance
へ	indicates direction or goal (e.g. "to")
派閥 | はばつ	clique; faction
仮に | かり	temporarily; provisionally; for example; for argument's sake
キッチン	kitchen, chitin
目撃 | もくげき	witnessing; observing; sighting
混血 | こんけつ	mixed race; mixed parentage
物音 | ものおと	sound; sounds
体長 | たいちょう	length of an animal (sometimes including and sometimes excluding the tail)
催す | もよお	to hold (a meeting); to give (a dinner); to show signs of, to feel (sensation, emotion, call of nature, etc.)
正方形 | せいほうけい	square
適正 | てきせい	reasonable; suitable
敷く | し	to spread out; to lay out, to take a position
外車 | がいしゃ	foreign automobile
気の毒 | き, どく	pitiful; unfortunate; (a) pity
経理 | けいり	management; accounting
名門 | めいもん	noted family; noble family, prestigious school, organization, business, etc.
保全 | ほぜん	preservation; integrity; conservation; maintenance
宿命 | しゅくめい	fate; destiny; predestination
樹立 | じゅりつ	establish; create
町長 | ちょうちょう	town headman; town mayor
山手 | やまて	place near the mountains, hilly section of a city (e.g. Tokyo, Kobe, Yokohama)
灯油 | とうゆ	lamp oil; kerosene
試作 | しさく	trial manufacture; experiment; test piece; prototype
相次ぐ | あいつ	to follow in succession; to happen one after another
会 | かい	meeting; assembly; party, association; club
誤差 | ごさ	measurement error; calculation error
残酷 | ざんこく	cruelty; harshness
都 | と	metropolitan; municipal
病人 | びょうにん	sick person; patient; invalid
浴衣 | ゆかた	yukata (light cotton kimono worn in the summer or used as a bathrobe)
生体 | せいたい	organism; living body
回想 | かいそう	reflection; reminiscence
県内 | けんない	within the prefecture
仮面 | かめん	mask, disguise
こっそり	stealthily; secretly
釜 | かま	iron pot; kettle
蚊 | か	mosquito
前方 | ぜんぽう	forward; frontward, rectangular front
利息 | りそく	interest (bank)
寄与 | きよ	contribution; service
追求 | ついきゅう	pursuing (goal); pursuit; seeking; search, to pursue (e.g. goal); to seek
めい	niece
春秋 | しゅんじゅう	spring and autumn; spring and fall; months and years, the Chronicles of Lu or the Spring and Autumn Annals - one of the Five Classics
唱える | とな	to recite; to chant, to cry; to yell; to shout
ねんがじょう	New Year's card
かた	lagoon
デート	date; go on a date
時雨 | しぐれ	drizzle; shower in late autumn (fall) or early winter, seasonable rain
出迎え | でむか	meeting; reception
消耗 | しょうもう	exhaustion; consumption; waste; dissipation
客室 | きゃくしつ	guest room (at a hotel); guest cabin (on a boat); passenger cabin (on a plane), drawing room
選抜 | せんばつ	selection; choice; picking out
財団 | ざいだん	foundation
経度 | けいど	longitude
脇 | わき	armpit; under one's arm; side; flank, beside; close to; near; by
歯磨き | はみが	dental brushing; brushing one's teeth, dentifrice; toothpaste; tooth powder
段 | だん	step; stair; (flight of) steps; (row of) stitches; columns (of print), grade; rank; level
な	(sentence end, mainly masc.) indicates emotion or emphasis, (used with masu stem verb) command
場 | ば	place; spot; space, field; discipline; sphere; realm
差し上げる | さ, あ	to give; to offer, to lift up; to hold up; to raise
パパ	Papa
たび	tabi; Japanese socks (with split toe)
ていく	
手当 | てあて	salary; pay; compensation; allowance (e.g. housing allowance); benefit; bonus, medical care; treatment
休止 | きゅうし	pause; cessation; rest
チーズ	cheese, say cheese! (when taking photographs)
出来 | しゅったい	occurrence; happening; taking place
葬式 | そうしき	funeral
堤防 | ていぼう	bank; weir; embankment; levee
包囲 | ほうい	siege; encirclement; envelopment; surrounding; besiegement
手品 | てじな	sleight of hand; conjuring trick; magic; juggling
殺害 | さつがい	killing; murder
口紅 | くちべに	lipstick
万歳 | ばんざい	crying "banzai" (or raising one's hands in the banzai gesture), something worthy of celebration
ドライブ	drive; trip by car; driving, to (go for a) drive; to go on a trip by car
原告 | げんこく	plaintiff; accuser; prosecutor
炒める | いた	to cook; to fry; to saute; to stir-fry
見守る | みまも	to watch over; to watch attentively
職 | しょく	job; work; employment; occupation; position, duties
君主 | くんしゅ	ruler; monarch; sovereign
不動 | ふどう	immobility; firmness; fixed; steadfastness; motionless; idle
人的 | じんてき	human; personal
水車 | すいしゃ	water wheel, water turbine; hydraulic turbine
総務 | そうむ	general affairs; general business; manager; director; adjutant general
今や | いま	now (esp. in contrast to the past); now at last; at present; right now
据える | す	to place (in position); to fix; to set (e.g. table); to lay (foundation), to install; to seat (someone)
上記 | じょうき	above-mentioned; above-named; above
シーズン	season (fruits and vegetables, sporting, holidays)
産物 | さんぶつ	product; produce, result; fruit
蹴る | け	to kick, to refuse; to reject
王座 | おうざ	throne
店長 | てんちょう	shop manager
生誕 | せいたん	birth; nativity
三国 | さんごく	three countries, Japan, China amp India; Japan, Korea amp China; all the world
元素 | げんそ	chemical element
キャプテン	captain
てみる	
麻薬 | まやく	narcotic drugs; narcotic; opium; dope
ぐっすり	sound asleep; fast asleep
頼み | たの	request; favor; favour, reliance; dependence; trust
により	according to; by (means of); due to; because of
大空 | おおぞら	heavens; firmament; sky
拡散 | かくさん	scattering; diffusion; spread (e.g. signal across the spectrum)
利 | り	advantage; benefit; profit; interest
大賞 | たいしょう	big prize; first prize
規範 | きはん	model; standard; pattern; norm; criterion; example
迫害 | はくがい	persecution
四千 | よんせん	four thousand
ヒット	hit; base hit; safe hit; single, hit; success
さえ	even; if only; if just; as long as; the only thing needed
せる	auxiliary verb indicating the causative, auxiliary verb indicating that one has been granted the permission to do something
すず	tin (Sn)
上回る | うわまわ	to exceed (esp. figures: profits, unemployment rate, etc.); to surpass; to be more than; to be better than
居る | お	to be (animate); to be; to exist, verb indicating continuing action or state (i.e. to be ..ing)
部隊 | ぶたい	force; unit; corps; echelon; element
医 | い	medicine; the healing art; healing; curing; doctor
ハム	ham (cured pig meat), ham (amateur radio enthusiast)
改築 | かいちく	structural alteration of building; reconstruction
催し | もよお	event; festivities; function; social gathering; auspices; opening; holding (a meeting)
転落 | てんらく	fall; tumble; spill; plunge; dive, degradation; comedown; demotion; slump
機器 | きき	device; equipment; machinery; apparatus
休息 | きゅうそく	rest; relief; relaxation
何人 | なにびと	everyone; every person; all; anyone
捕る | と	to take; to catch; to capture
食用 | しょくよう	for use as food; edible
通算 | つうさん	total
編入 | へんにゅう	admission; incorporation
社交 | しゃこう	social life; social intercourse
政令 | せいれい	government ordinance; cabinet order
熱中 | ねっちゅう	going nuts (over something); enthusiasm; zeal; mania
あ	Ah!; Oh!; expression of surprise, recollection, etc., Hey!; used to get someone's attention
罰金 | ばっきん	fine; penalty
中島 | なかじま	island in a pond or river
予言 | よげん	prediction; prophecy; prognostication
質量 | しつりょう	mass
在籍 | ざいせき	enrollment; enrolment
待機 | たいき	alert; standby; await an opportunity; wait for orders
学説 | がくせつ	theory
歩む | あゆ	to walk; to go on foot
中前 | ちゅうぜん	front of center field; front of centre field
伺う | うかが	to ask; to inquire; to hear; to be told, to implore (a god for an oracle); to seek direction (from your superior)
歌人 | かじん	poet (of tanka poems)
炭鉱 | たんこう	coal mine; coal pit
重み | おも	importance; weight; dignity; emphasis
中期 | ちゅうき	middle period, medium-term
披露 | ひろう	announcement; presentation; demonstration; displaying; showing; introducing; exhibiting; unveiling; revealing; showcasing; performing; giving a rendition
合法 | ごうほう	legal; lawful; legality
回避 | かいひ	evasion; avoidance
策定 | さくてい	formulation (of a plan, policy, etc.); decision; settling on
強度 | きょうど	strength; intensity
当人 | とうにん	the one concerned; the said person
おもに	load; heavy burden; encumbrance; heavy freight; heavy responsibility
麻 | あさ	cannabis (Cannabis sativa); hemp (plant), hemp (fiber); linen; flax; jute
安打 | あんだ	safe hit
ポット	pot (esp. teapot, coffee-pot), vacuum bottle; thermos flask
五輪 | ごりん	Olympic rings; Olympics
強風 | きょうふう	strong wind; high wind; moderate gale
好ましい | この	nice; likeable; desirable
ごと	each; every
消火 | しょうか	fire fighting; extinguishing a fire
放映 | ほうえい	televising
元日 | がんじつ	New Year's Day
恥 | はじ	shame; embarrassment; disgrace
日刊 | にっかん	daily issue
出馬 | しゅつば	running (for election); coming forward as a candidate, going on horseback
石 | いし	stone, gem; jewel
沼 | ぬま	swamp; bog; pond; lake
ラッシュ	rush, rush hour
意地悪 | いじわる	malicious; ill-tempered; unkind
勧告 | かんこく	advice; counsel; remonstrance; recommendation
織物 | おりもの	textile; fabric
実 | じつ	truth; reality, sincerity; honesty; fidelity
遭難 | そうなん	disaster; shipwreck; accident; being stranded
染める | そ	to dye; to colour; to color
カタカナ	katakana; angular Japanese syllabary used primarily for loanwords
不平 | ふへい	complaint; discontent; dissatisfaction
新田 | しんでん	new rice field; newly developed rice field, wasteland or marshland newly reclaimed as a rice field (Edo period)
圧迫 | あっぱく	pressure; coercion; oppression
凍結 | とうけつ	freeze (e.g. program, food)
出水 | しゅっすい	flood; freshet; inundation
教徒 | きょうと	believer; adherent
放火 | ほうか	arson; setting fire
ロシア	Russia
両国 | りょうごく	both countries, Ryougoku (area of Tokyo)
毎度 | まいど	each time; always; often, thank you for your continued patronage
出走 | しゅっそう	entry in a race
不意 | ふい	sudden; abrupt; unexpected; unforeseen
逃がす | に	to miss; to lose; to give away; to let go; to set free; to let get away (eg physically escape)
修繕 | しゅうぜん	repair; mending
採決 | さいけつ	vote; roll call
値上げ | ねあ	price hike; mark-up
重傷 | じゅうしょう	serious wound; serious injury
堂 | どう	temple; shrine; chapel, hall
侍 | さむらい	warrior (esp. of military retainers of daimyos in the Edo period); samurai, man in attendance (on a person of high standing); retainer
検察 | けんさつ	examination; prosecutor
粉末 | ふんまつ	fine powder
編 | へん	compilation (of a text); editing, volume (of a text)
だ	be; is, indicates past or completed action
中継 | ちゅうけい	relay; hook-up, relay broadcasting
首位 | しゅい	first place; head position; leading position
軽快 | けいかい	casual (e.g. dress); light; nimble; jaunty; rhythmical (e.g. melody), taking a turn for the better; receding of symptoms
神道 | しんとう	Shinto; Shintoism
虐殺 | ぎゃくさつ	atrocity; massive killing
日産 | にっさん	daily output, Nissan (Japanese car company)
男前 | おとこまえ	handsome man
出入 | しゅつにゅう	in and out; income and expenses; free associations; run of the house
西欧 | せいおう	Western Europe
生い立ち | お, た	growth; development, one's early life; upbringing; personal history
防火 | ぼうか	fire prevention; fire fighting; fire proof
前売り | まえう	advance sale; booking
固まる | かた	to harden; to solidify, to become firm; to become certain
配当 | はいとう	allotment; apportionment; share; dividend
中 | ちゅう	medium; average; middle, moderation
同校 | どうこう	same school
仏像 | ぶつぞう	statue of Buddha; image of Buddha; Buddhist statue; Buddhist image
視覚 | しかく	sense of sight; vision
確かめる | たし	to ascertain; to check; to make sure
全日 | ぜんじつ	all days
母さん | かあ	mother, wife (used when speaking to or about one's own wife)
脱線 | だっせん	derailment, digression; deviation
着替え | きが	changing clothes; change of clothes
療養 | りょうよう	recuperation; medical treatment
中性 | ちゅうせい	neutrality (incl. chemical, electrical, etc.); indifference, sexlessness; androgyny; androgyne; neuter
平仮名 | ひらがな	hiragana; cursive Japanese syllabary used primarily for native Japanese words (esp. function words, inflections, etc.)
倍率 | ばいりつ	magnification; leverage; amplification; scaling factor; scale factor, acceptance rate; pass rate (of an exam, etc.)
志向 | しこう	intention; aim; preference (for)
肥料 | ひりょう	manure; fertilizer; fertiliser
カセット	cassette (tape), game cartridge
網 | あみ	net; netting, web
コード	code, cord
標語 | ひょうご	motto; slogan; catchword
率 | りつ	rate; ratio; proportion; percentage
一週間 | いっしゅうかん	one week
語源 | ごげん	word root; word derivation; etymology
長編 | ちょうへん	long (e.g. novel, film)
鉄砲 | てっぽう	gun, wooden pole that wrestlers strike in practice
溶岩 | ようがん	lava
識別 | しきべつ	discrimination; discernment; identification
連勝 | れんしょう	consecutive victories; series of victories
引きずる | ひ	to drag along; to pull, to force someone along
治安 | ちあん	public order
定数 | ていすう	fixed number; quorum (for an assembly), constant; invariable
ふれあい	contact; connectedness; rapport; mutual touching
当地 | とうち	this place; here
球団 | きゅうだん	baseball team
下品 | げひん	vulgarity; meanness; indecency; coarseness
是正 | ぜせい	correction; revision; redressing; rectifying
国体 | こくたい	national polity, National Athletic Meet
山上 | さんじょう	mountain top
湿気 | しっけ	moisture; humidity; dampness
スケート	skating (esp. ice); skate; skates
サークル	group with a common interest (e.g. students); club (e.g. company sports club); circle, circle (shape)
恋する | こい	to fall in love with; to love
迅速 | じんそく	quick; fast; rapid; swift; prompt; streamlined; expedited; expeditious
市外 | しがい	outside the city area; suburbs
平安 | へいあん	peace; tranquility; tranquillity, Heian era (794-1185)
花束 | はなたば	bunch of flowers; bouquet
生息 | せいそく	inhabiting; living
噴水 | ふんすい	water fountain
ルール	rule
上がったり | あ	doomed; in a bad state; poor (e.g. business)
館長 | かんちょう	superintendent; director; curator; chief librarian
暑さ | あつ	heat (of the weather); hotness
住人 | じゅうにん	dweller; inhabitant; resident
寒気 | さむけ	chill; the shivers; shivering fit, cold; coldness; cold air
再三 | さいさん	again and again; repeatedly
差し出す | さ, だ	to present; to submit; to tender; to hold out
西北 | せいほく	north-west
隣接 | りんせつ	adjoin; adjacent; related
飛行場 | ひこうじょう	airfield; airport
担保 | たんぽ	security; guarantee; collateral (e.g. mortgage)
製鉄 | せいてつ	iron manufacture
派出所 | はしゅつじょ	local police station
新設 | しんせつ	newly organized; newly organised; newly established
拠点 | きょてん	position; location; base; point
原産 | げんさん	place of origin; habitat
助成 | じょせい	assisting; assistance; fostering; aiding
組み合わせ | く, あ	combination
作法 | さほう	manners; etiquette; propriety, manner of production (esp. of prose, poetry, etc.); way of making
貯蔵 | ちょぞう	storage; preservation
既存 | きそん	existing
否決 | ひけつ	rejection; negation; voting down
極めて | きわ	exceedingly; extremely; decisively
明白 | めいはく	obvious; clear; plain; evident; apparent; explicit; overt
農産物 | のうさんぶつ	agricultural produce
芝 | しば	lawn; sod; turf
主席 | しゅせき	head; chief, chairman; governor; president
一色 | いっしょく	one color; one colour; one article; monochrome, same tendency; everyone being caught up in the same thing
おしゃれ	smartly dressed; stylish; fashion-conscious, someone smartly dressed
債務 | さいむ	debt; liabilities; obligation to a person or party (usu. legal or contractual)
所長 | しょちょう	chief; head (of an office, of a laboratory)
弁護士 | べんごし	lawyer; attorney
やって来る | く	to come along; to come around; to turn up, to arrive at the present; to get where one is; to have been doing something (for a period of time)
転がす | ころ	to roll, to turn over; to tip over; to throw down
に	load; baggage; cargo; freight; goods, burden; responsibility
十字 | じゅうじ	cross; crossed; cruciform
了 | りょう	finish; completion; understanding
追悼 | ついとう	mourning (dead persons); memorial
収録 | しゅうろく	compilation; editing, recording
大物 | おおもの	important person; big-shot; bigwig, big game (animal, fish); big thing; valuable thing
ご	go (board game of capturing territory)
付く | つ	to be attached; to be connected with; to adhere; to stick; to cling, to remain imprinted; to scar; to stain; to dye
ランチ	lunch, launch
前面 | ぜんめん	front part; frontage; facade, initial pledge (e.g. election); opening slogan
巻 | まき	roll (e.g. of cloth), winding
観衆 | かんしゅう	spectators; onlookers; members of the audience
予期 | よき	expectation; assume will happen; forecast
自作 | じさく	one's own work
なるべく	as much as possible; wherever practicable
親方 | おやかた	master; boss; chief; foreman; supervisor, stable master
菊 | きく	chrysanthemum (Chrysanthemum morifolium)
怪我 | けが	injury (to animate object); hurt
どう	trunk; torso; body; abdomen; waist, plastron (in kendo); touching the plastron (kimari-te in kendo)
千代 | ちよ	thousand years, very long period; forever
損なう | そこ	to harm; to hurt; to injure; to damage, to fail in doing
日食 | にっしょく	solar eclipse
草原 | そうげん	grass-covered plain; grasslands; meadows; savannah; prairie; steppe
まあ	just (e.g. "just wait here"); come now; now, now, tolerably; passably; moderately; reasonably; fairly; rather; somewhat
包み | つつ	bundle; package; parcel; bale
選 | せん	selection; choice; choosing; picking; election
法規 | ほうき	the law; laws and regulations
カナダ	Canada
腕前 | うでまえ	ability; skill; facility
不調 | ふちょう	bad condition; not to work out (i.e. a deal); disagreement; break-off; disorder; slump; out of form
スピード	speed
現像 | げんぞう	developing (film)
歌声 | うたごえ	singing voice; (sound of) singing
上人 | しょうにん	holy priest; saint
警部 | けいぶ	police inspector
かえって	on the contrary; rather; all the more; instead
弾く | ひ	to play (piano, guitar)
最期 | さいご	one's last moment; one's time of death
護衛 | ごえい	guard; convoy; escort
示唆 | しさ	suggestion; hint; implication
値引き | ねび	price reduction; discount
日経 | にっけい	Nikkei (newspaper, share index)
中堅 | ちゅうけん	main body (of troops), nucleus; backbone; mainstay; key figure
維新 | いしん	reformation; revolution; renewal, Meiji Restoration
防犯 | ぼうはん	prevention of crime
コーナー	corner, segment (within a radio or TV program); session; column (newspaper, etc.)
公使 | こうし	envoy; diplomat below the rank of ambassador (e.g. deputy chief of mission, charge d'affaires); minister (of legation)
打者 | だしゃ	batter
当番 | とうばん	being on duty
けつじょ	lack; privation; deficiency
とか	among other things; such things as; or something like that
搭乗 | とうじょう	embarkation; boarding (an aeroplane, airplane)
万 | ばん	many; all
ぜいむしょ	tax office
舗装 | ほそう	pavement; road surface
採択 | さいたく	adoption; selection; choice
共演 | きょうえん	appearing together; co-acting; co-starring
大別 | たいべつ	general classification
わ	counter for birds and rabbits
指数 | しすう	index; index number; exponent (e.g. in floating-point representation); characteristic
貯蓄 | ちょちく	savings
著作 | ちょさく	writing; book
火花 | ひばな	spark
満月 | まんげつ	full moon
見なす | み	to consider as; to regard (as equivalent); to deem (as); to equate
雑貨 | ざっか	miscellaneous goods; general goods; sundries
おまけ	freebie (e.g. with a purchase); something additional; bonus; an extra, price reduction; discount
数多く | かずおお	in great numbers
初版 | しょはん	first edition
覚ます | さ	to awaken, to disabuse
換気 | かんき	ventilation
岐阜 | ぎふ	Gifu (city)
てある	
着実 | ちゃくじつ	steady; sound; trustworthy; solid
担ぐ | かつ	to shoulder; to carry on one's shoulder, to nominate for a position; to choose as a representative
雀 | すずめ	tree sparrow (Passer montanus), talkative person; knowledgeable person
合 | ごう	0.18039 litres (liters), 0.3306 metres square (meters)
頑固 | がんこ	stubborn; obstinate; pigheaded
ふけいき	business recession; hard times; depression; gloom; sullenness; cheerlessness
メートル	metre; meter, meter (i.e. a gauge); gauge
分立 | ぶんりつ	segregation; separation; independence
洋風 | ようふう	Western style
腸 | ちょう	guts; bowels; intestines
もし	if; in case; supposing
期 | き	period; time, age
過労 | かろう	overwork; strain
濡れる | ぬ	to get wet
雑音 | ざつおん	noise (jarring, grating), gossip; irresponsible criticism
公然 | こうぜん	open; public; official; overt
車種 | しゃしゅ	car make; car model
免税 | めんぜい	tax exemption; duty exemption
肉親 | にくしん	blood relationship; blood relative
関 | せき	barrier; gate, seki (in go); mutual life
中原 | ちゅうげん	middle of a field; middle of a country; field of contest
一夜 | いちや	one night; all night; overnight; one evening
議席 | ぎせき	parliamentary seat
カタログ	catalog; catalogue
歴代 | れきだい	successive generations; successive emperors
縫う | ぬ	to sew; to stitch, to weave one's way (e.g. through a crowd)
最中 | さいちゅう	in the middle of; height of; in course of; midst
広がり | ひろ	spread; span; expanse; extent
団結 | だんけつ	unity; union; combination
二十日 | はつか	twentieth day of the month, twenty days
丁目 | ちょうめ	district of a town; city block (of irregular size)
屋内 | おくない	indoor (court, pool, etc.)
店主 | てんしゅ	shopkeeper
財務 | ざいむ	financial affairs
告示 | こくじ	notice; bulletin
攻め | せ	attack; offence; offense, dominant partner of a homosexual relationship
教材 | きょうざい	teaching materials
東口 | ひがしぐち	east entrance
たまる	to collect; to gather; to save; to accumulate; to pile up
失点 | しってん	losing points; lost points, run charged to the pitcher
あいにく	unfortunately; Sorry, but ...
しょっちゅう	always; constantly; frequently; often
走り | はし	the first (harvest, catch) of the season or year
男らしい | おとこ	manly; masculine
滅亡 | めつぼう	downfall; ruin; collapse; destruction
書き方 | か, かた	way of writing; manner of writing, penmanship (esp. used in old textbooks); calligraphy
地平線 | ちへいせん	horizon (related to land)
左利き | ひだりき	left-handedness; left-hander, drinker; wine lover
リクエスト	request
コレクション	collection, correction
配信 | はいしん	distribution; delivery; transmission; provision
大作 | たいさく	epic
下がり | さ	fall; decline; lowering; hanging down; drooping; slanting (downward), string apron; ornamental cords hanging from the front of a sumo wrestler's belt
目上 | めうえ	superior; superiors; senior
出資 | しゅっし	investment; contribution; financing
そ	ancestor; forefather; progenitor
下火 | したび	burning low; waning; declining
実業 | じつぎょう	industry; business
やたら	indiscriminately; blindly; at random; recklessly; thoughtlessly; excessively; profusely, indiscriminate; random; excessive
年来 | ねんらい	for some years
命ずる | めい	to command; to appoint
富士山 | ふじさん	Mount Fuji; Mt. Fuji; Fujiyama; Fuji-san
何だか | なん	(a) little; somewhat; somehow
寮 | りょう	hostel; dormitory, bureau (government department beneath a ministry under the ritsuryo system)
大ざっぱ | おお	rough (as in not precise); broad; sketchy
営利 | えいり	money-making; commercialized; commercialised
棟 | むね	ridge (of roof), back of a sword
人目 | ひとめ	public gaze; public notice
補正 | ほせい	correction; revision; compensation (e.g. to a pendulum)
積極的 | せっきょくてき	assertive; positive; active; proactive
中国人 | ちゅうごくじん	Chinese person
字体 | じたい	type; font; lettering
磁石 | じしゃく	magnet, compass
残らず | のこ	all; entirely; completely; without exception
現職 | げんしょく	present post; current office; (an) incumbent
まゆ	cocoon
三味線 | しゃみせん	shamisen; samisen; three-stringed Japanese lute
通達 | つうたつ	notification; directive (e.g. from higher to lower levels of the administration)
滑らか | なめ	smooth (e.g. skin or ground); glassy; velvety, fluent; smooth (speaking); without a hitch
そのまま	without change; as it is (i.e. now), just like; extremely similar
初回 | しょかい	first time; first innings; initial attempt, first; initial
西方 | せいほう	western direction, Western Pure Land (Amitabha's Buddhist paradise)
白色 | はくしょく	white
迷子 | まいご	lost child; lost person; stray child; missing child
大洋 | たいよう	ocean
偵察 | ていさつ	scout out; reconnaissance
共学 | きょうがく	coeducation
無地 | むじ	plain; unfigured
数々 | かずかず	many; numerous; various; large number of
なれ	practice; practising; experience
わし	eagle (Accipitridae family)
用水 | ようすい	irrigation water; water for fire; city water; cistern water
顧問 | こもん	adviser; advisor; consultant
二度 | にど	two times; twice, two degrees
打席 | だせき	batter's box; one's turn at bat
圧倒 | あっとう	overwhelm; overpower; overwhelming
抜け出す | ぬ, だ	to slip out; to sneak away; to excel, to break (out of a loop)
醜い | みにく	ugly; unattractive, unsightly; unseemly
てあげる	
上 | かみ	upper reaches (of a river); upper stream, top; upper part; upper half (of the body)
撤退 | てったい	evacuation; withdrawal; revocation; repeal; retreat
か	department; section; faculty; school; arm, course (of study); branch of study; specialization
混同 | こんどう	confusion; mixing; merger
後任 | こうにん	successor
反動 | はんどう	reaction; recoil; kick; backlash
九九 | くく	multiplication table; times table
潜水 | せんすい	diving; submerging; going underwater
扇風機 | せんぷうき	electric fan
縁 | ふち	rim; brim; edge; brink
年表 | ねんぴょう	chronological table
同窓会 | どうそうかい	graduate's association; alumni meeting; class reunion
戦線 | せんせん	(war) front
捕獲 | ほかく	capture; seizure
打ち込む | う, こ	to drive in (e.g. nail, stake); to hammer in, to hit (a ball, etc.); to drive; to smash
つば	saliva; spit; sputum
西日 | にしび	westering sun; setting sun
低温 | ていおん	low temperature
生育 | せいいく	birth and growth; giving birth and raising; development; breeding
たこ	kite
格闘 | かくとう	hand-to-hand fighting; grappling; scuffling
赤色 | あかいろ	red; red color (colour), red-colored; red
あめ	(hard) candy; toffee, rice-sugar; sugar made from the starch of rice, potatoes, etc.
真意 | しんい	real intention; true motive; true meaning
しげる	to grow thickly; to be in full leaf; to be rampant; to luxuriate; to be luxurious
攻める | せ	to attack; to assault; to assail
養子 | ようし	adopted child (usu. male); son-in-law
